Adamantoise|46|Gold Saucer|Purchased from the Gold Saucer Attendant for  200,000 MGP.|1|0|0|1|2.51
Aerodynamics System|91|PvP|Awarded from the Achievement   In a Blaze of Glory V by winning 100 Frontline PvP matches on Fields of Glory with any of the Grand Companies.|1|0|0|1|3.3
Aeturna|308|Eureka Orthos|Awarded from the Achievement   Vintage Vogue by speaking with Koh Rabntah while in possession of all four of the enaretos accessories.|1|0|0|1|6.35
Ahriman|9|Achievement Certificates|Purchased from Jonathas in Old Gridania for  6 Achievement Certificates.|1|0|0|1|2.0
Air Force|156|Raids|Guaranteed drop upon completion of  Sigmascape V4.0 (Savage).|1|0|0|1|4.2
Air-wheeler A9|343|Gil|Purchased from Neon in Solution Nine for  7,500,000 gil.|1|0|1|1|7.0
Air-wheeler C9|382|Raids|Guaranteed drop upon completion of  AAC Cruiserweight M4 (Savage).|1|0|0|4|7.2
Aithon|28|Trials|Random drop upon completion of  The Bowl of Embers (Extreme).|1|0|0|1|2.2
Al-iklil|246|Bozja|Attain the Achievement   A Complete History by collecting all 50 Field Record entries.|1|0|0|2|5.55
Albino Karakul|209|Ishgardian Restoration|Purchased from Enie in The Firmament for  8,400 Skybuilders' Scrips.|1|0|1|1|5.21
Alkonost|281|Treasure Hunt|Purchased from Nesvaaz in Radz-at-Han (10.6, 10) for 3   Resplendent Feathers from Endwalker treasure maps.|1|0|1|1|6.1
Alpaca|344|Main Scenario|Reward for completing the Main Scenario Quest  Dawntrail.|1|0|0|1|7.0
Alte Roite|126|Raids|Guaranteed drop upon completion of  Deltascape V4.0 (Savage)|1|0|0|1|4.05
Amaro|187|Achievements|Awarded from the Achievement   A Life of Adventure IV by getting every Disciple of War and Disciple of Magic that starts below level 80 (excluding Reaper, Sage, and Blue Mage) to level 80.|1|0|0|1|5.0
Amber Draught Chocobo|52|Campaigns|Purchased from any Calamity Salvager for 8   Gold Chocobo Feathers. Gold Chocobo Feathers can be obtained through the Recruit a Friend campaign, or through World Population Balancing Incentives.|1|0|0|2|3.0
Ambulario|396|Seasonal Event|Reward for completing the Seasonal Event Quest  Dressed to Impresario during All Saints' Wake (2025).|0|0|0|1|7.3
Ancient Airship|383|Occult Crescent|Purchase from the Expedition Antiquarian in South Horn for  5,000 Enlightenment Silver Pieces.|1|0|0|4|7.25
Anden III|311|Custom Deliveries|Complete the quest  A Labor of Leaf which requires Custom Delivery level 5 with Anden.|1|0|0|1|6.3
Antelope Doe|242|Ishgardian Restoration|Purchased from Enie in The Firmament for  8,400 Skybuilders' Scrips.|1|0|1|1|5.5
Antelope Stag|243|Ishgardian Restoration|Purchased from Enie in The Firmament for 30   Fête Tokens. Randomly drops from   Fête Present.|1|0|1|1|5.5
Apocryphal Bahamut|328|Trials|Reward for completing the Sidequest " Wings of Hope" after acquiring the 7 Lynx mounts from Endwalker extreme trials.|1|0|0|1|6.5
Aquamarine Carbuncle|138|Premium|Final Fantasy XIV Online Store - ($24 / £13.80 / €16.80 / ¥2530) (account-wide)|1|1|0|1|4.15
Archon Throne|110|Gold Saucer|Purchased from the Gold Saucer Attendant for  750,000 MGP.|1|0|0|1|3.5
Argos|263|Main Scenario|Reward for completing the Main Scenario Quest  Endwalker.|1|0|0|1|6.0
Arion|237|Premium|Purchase the Collector's Edition or Digital Collector's Edition of Endwalker. (account-wide)|1|1|0|1|6.0
Ark|327|Premium|Purchase the Collector's Edition or Digital Collector's Edition of Dawntrail. (account-wide)|1|1|0|1|7.0
Arrhidaeus|101|Raids|Guaranteed drop upon completion of  Alexander - The Soul of the Creator (Savage).|1|0|0|1|3.4
Astrope|83|Achievements|Awarded from the Achievement   I Hope Mentor Will Notice Me VI by completing 2,000 duties via the  Duty Roulette: Mentor.|1|0|0|2|3.3
Auspicious Kamuy|144|Trials|Random drop upon completion of  The Jade Stoa (Extreme). Purchased from Eschina for 99   Byakko Totems.|1|0|0|1|4.2
